patient_id,repetition,target_est_tokens,achieved_est_tokens,delta_tokens,delta_frac,control_chars,redundancy_chars
patient_97,5,553,556,3,0.0054249547920434,2222,2210
patient_97,10,1105,1115,10,0.00904977375565611,4459,4420
patient_97,16,1768,1789,21,0.011877828054298642,7156,7072
patient_98,1,139,139,0,0.0,554,554
patient_98,5,693,697,4,0.005772005772005772,2786,2770
patient_98,10,1385,1406,21,0.01516245487364621,5624,5540
patient_98,16,2216,2233,17,0.007671480144404332,8930,8864
patient_99,1,94,94,0,0.0,373,373
patient_99,5,467,486,19,0.04068522483940043,1941,1865
patient_99,10,933,950,17,0.01822079314040729,3798,3730
patient_99,16,1492,1510,18,0.012064343163538873,6037,5968
patient_100,1,127,127,0,0.0,508,508
patient_100,5,635,641,6,0.009448818897637795,2561,2540
patient_100,10,1270,1275,5,0.003937007874015748,5100,5080
patient_100,16,2032,2041,9,0.0044291338582677165,8161,8128
