run_id,patient_id,condition,repetition,run,raw_valid_json,repair_needed,structural_drift_score
20260522_224913,patient_36,filler_control,16,1,1,0,0.0
20260522_224913,patient_37,filler_control,1,1,1,0,0.0
20260522_224913,patient_37,filler_control,5,1,1,0,0.0
20260522_224913,patient_37,filler_control,10,1,1,0,0.0
20260522_224913,patient_37,filler_control,16,1,1,0,0.0
20260522_224913,patient_38,filler_control,1,1,1,0,0.0
20260522_224913,patient_38,filler_control,5,1,1,0,0.0
20260522_224913,patient_38,filler_control,10,1,1,0,0.0
20260522_224913,patient_38,filler_control,16,1,1,0,0.0
20260522_224913,patient_39,filler_control,1,1,1,0,0.0
20260522_224913,patient_39,filler_control,5,1,1,0,0.0
20260522_224913,patient_39,filler_control,10,1,1,0,0.0
20260522_224913,patient_39,filler_control,16,1,1,0,0.0
20260522_224913,patient_40,filler_control,1,1,1,0,0.0
20260522_224913,patient_40,filler_control,5,1,1,0,0.0
20260522_224913,patient_40,filler_control,10,1,1,0,0.0
20260522_224913,patient_40,filler_control,16,1,1,0,0.0
20260522_224913,patient_41,filler_control,1,1,1,0,0.0
20260522_224913,patient_41,filler_control,5,1,1,0,0.0
20260522_224913,patient_41,filler_control,10,1,1,0,0.0
20260522_224913,patient_41,filler_control,16,1,1,0,0.0
20260522_224913,patient_42,filler_control,1,1,1,0,0.0
20260522_224913,patient_42,filler_control,5,1,1,0,0.0
20260522_224913,patient_42,filler_control,10,1,1,0,0.0
20260522_224913,patient_42,filler_control,16,1,1,0,0.0
20260522_224913,patient_43,filler_control,1,1,1,0,0.0
20260522_224913,patient_43,filler_control,5,1,1,0,0.0
20260522_224913,patient_43,filler_control,10,1,1,0,0.0
20260522_224913,patient_43,filler_control,16,1,1,0,0.0
20260522_224913,patient_44,filler_control,1,1,1,0,0.0
20260522_224913,patient_44,filler_control,5,1,1,0,0.0
20260522_224913,patient_44,filler_control,10,1,1,0,0.0
20260522_224913,patient_44,filler_control,16,1,1,0,0.0
20260522_224913,patient_45,filler_control,1,1,1,0,0.0
20260522_224913,patient_45,filler_control,5,1,1,0,0.0
20260522_224913,patient_45,filler_control,10,1,1,0,0.0
20260522_224913,patient_45,filler_control,16,1,1,0,0.0
20260522_224913,patient_46,filler_control,1,1,1,0,0.0
20260522_224913,patient_46,filler_control,5,1,1,0,0.0
20260522_224913,patient_46,filler_control,10,1,1,0,0.0
20260522_224913,patient_46,filler_control,16,1,1,0,0.0
20260522_224913,patient_47,filler_control,1,1,1,0,0.0
20260522_224913,patient_47,filler_control,5,1,1,0,0.0
20260522_224913,patient_47,filler_control,10,1,1,0,0.0
20260522_224913,patient_47,filler_control,16,1,1,0,0.0
20260522_224913,patient_48,filler_control,1,1,1,0,0.0
20260522_224913,patient_48,filler_control,5,1,1,0,0.0
20260522_224913,patient_48,filler_control,10,1,1,0,0.0
20260522_224913,patient_48,filler_control,16,1,1,0,0.0
20260522_224913,patient_49,filler_control,1,1,1,0,0.0
20260522_224913,patient_49,filler_control,5,1,1,0,0.0
20260522_224913,patient_49,filler_control,10,1,1,0,0.0
20260522_224913,patient_49,filler_control,16,1,1,0,0.0
20260522_224913,patient_50,filler_control,1,1,1,0,0.0
20260522_224913,patient_50,filler_control,5,1,1,0,0.0
20260522_224913,patient_50,filler_control,10,1,1,0,0.0
20260522_224913,patient_50,filler_control,16,1,1,0,0.0
20260522_224913,patient_51,filler_control,1,1,1,0,0.0
20260522_224913,patient_51,filler_control,5,1,1,0,0.0
20260522_224913,patient_51,filler_control,10,1,1,0,0.0
20260522_224913,patient_51,filler_control,16,1,1,0,0.0
