path,prompt_tokens,completion_tokens,total_tokens,latency_s,ok,status_code
data/runs/full_pilot_control_20260520_235546/outputs/patient_05/rep_10x/run_03,1127,115,1242,4.390608,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_5x/run_01,567,80,647,3.104832,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_5x/run_02,567,80,647,3.608402,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_5x/run_03,567,80,647,3.939327,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_32x/run_01,2397,123,2520,5.692703,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_32x/run_02,2397,123,2520,3.288086,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_32x/run_03,2397,123,2520,3.884815,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_2x/run_01,361,80,441,3.185395,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_2x/run_02,361,80,441,3.241391,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_2x/run_03,361,80,441,3.188093,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_1x/run_01,280,80,360,3.164817,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_1x/run_02,280,80,360,3.240309,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_1x/run_03,280,80,360,2.573612,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_16x/run_01,1328,85,1413,3.704125,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_16x/run_02,1328,80,1408,3.637186,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_16x/run_03,1328,80,1408,3.831582,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_10x/run_01,884,80,964,3.991546,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_10x/run_02,884,80,964,3.889996,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_04/rep_10x/run_03,884,80,964,4.27457,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_5x/run_01,768,133,901,4.088994,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_5x/run_02,768,133,901,3.948489,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_5x/run_03,768,133,901,3.584667,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_32x/run_01,3489,193,3682,7.046049,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_32x/run_02,3489,193,3682,7.746314,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_32x/run_03,3489,193,3682,15.738669,True,200
