run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,raw_valid_json,schema_match,repair_needed,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present,structural_drift_score,extracted_entities_n
20260520_235546,patient_04,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:52.512574,1,200,3.2880864999997357,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_04,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:55.874346,1,200,3.8848149999998896,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_05,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:06:59.872713,1,200,3.6359277000001384,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:03.527858,1,200,3.7110477999999603,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:07.258607,1,200,3.4303452999997717,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:10.783979,1,200,3.21264119999978,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:14.017176,1,200,4.234055800000078,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:18.266810,1,200,3.53704770000013,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:21.974139,1,200,5.803064499999891,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:27.795777,1,200,4.245325299999877,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:32.060201,1,200,3.977064899999732,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:36.837552,1,200,4.704614799999945,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:41.559318,1,200,4.31996079999999,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:45.896114,1,200,4.3906081999998605,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:50.675362,1,200,3.1144218999997975,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:53.813173,1,200,3.8963780999997653,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:07:57.727901,1,200,5.4820268000003125,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:03.904393,1,200,8.066331800000171,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:11.987575,1,200,8.16174940000019,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_05,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:20.166321,1,200,7.8067652999998245,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_06,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:28.060729,1,200,5.0768685999996706,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:33.159189,1,200,5.439839699999993,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:38.617322,1,200,4.456117600000198,1,1,0,0,0,0,0,0.0,5
