patient_id,repetition,F1_Nx,F1_1x,RSS
patient_57,16,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_58,1,0.4705882352941176,0.4705882352941176,0.0
patient_58,5,0.4705882352941176,0.4705882352941176,0.0
patient_58,10,0.4705882352941176,0.4705882352941176,0.0
patient_58,16,0.4705882352941176,0.4705882352941176,0.0
patient_59,1,0.2,0.2,0.0
patient_59,5,0.2,0.2,0.0
patient_59,10,0.2,0.2,0.0
patient_59,16,0.2,0.2,0.0
patient_60,1,0.4285714285714285,0.4285714285714285,0.0
patient_60,5,0.4285714285714285,0.4285714285714285,0.0
patient_60,10,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_60,16,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_61,1,0.3529411764705882,0.3529411764705882,0.0
patient_61,5,0.125,0.3529411764705882,0.2279411764705882
patient_61,10,0.125,0.3529411764705882,0.2279411764705882
patient_61,16,0.125,0.3529411764705882,0.2279411764705882
patient_62,1,0.7142857142857143,0.7142857142857143,0.0
patient_62,5,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_62,10,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_62,16,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_63,1,0.4444444444444444,0.4444444444444444,0.0
patient_63,5,0.4444444444444444,0.4444444444444444,0.0
patient_63,10,0.4444444444444444,0.4444444444444444,0.0
patient_63,16,0.4444444444444444,0.4444444444444444,0.0
patient_64,1,0.6666666666666666,0.6666666666666666,0.0
patient_64,5,0.6666666666666666,0.6666666666666666,0.0
patient_64,10,0.6666666666666666,0.6666666666666666,0.0
patient_64,16,0.6666666666666666,0.6666666666666666,0.0
patient_65,1,0.3529411764705882,0.3529411764705882,0.0
patient_65,5,0.0,0.3529411764705882,0.3529411764705882
patient_65,10,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_65,16,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_66,1,0.6,0.6,0.0
patient_66,5,0.2,0.6,0.39999999999999997
patient_66,10,0.2,0.6,0.39999999999999997
patient_66,16,0.2,0.6,0.39999999999999997
patient_67,1,0.5714285714285714,0.5714285714285714,0.0
patient_67,5,0.5714285714285714,0.5714285714285714,0.0
patient_67,10,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_67,16,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_68,1,0.4705882352941176,0.4705882352941176,0.0
patient_68,5,0.4705882352941176,0.4705882352941176,0.0
patient_68,10,0.4705882352941176,0.4705882352941176,0.0
patient_68,16,0.4705882352941176,0.4705882352941176,0.0
patient_69,1,0.2,0.2,0.0
patient_69,5,0.2,0.2,0.0
patient_69,10,0.2,0.2,0.0
patient_69,16,0.2,0.2,0.0
patient_70,1,0.4285714285714285,0.4285714285714285,0.0
patient_70,5,0.4285714285714285,0.4285714285714285,0.0
patient_70,10,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_70,16,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_71,1,0.3529411764705882,0.3529411764705882,0.0
patient_71,5,0.125,0.3529411764705882,0.2279411764705882
patient_71,10,0.125,0.3529411764705882,0.2279411764705882
patient_71,16,0.125,0.3529411764705882,0.2279411764705882
patient_72,1,0.7142857142857143,0.7142857142857143,0.0
patient_72,5,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_72,10,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_72,16,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_73,1,0.4444444444444444,0.4444444444444444,0.0
patient_73,5,0.4444444444444444,0.4444444444444444,0.0
patient_73,10,0.4444444444444444,0.4444444444444444,0.0
patient_73,16,0.4444444444444444,0.4444444444444444,0.0
patient_74,1,0.6666666666666666,0.6666666666666666,0.0
patient_74,5,0.6666666666666666,0.6666666666666666,0.0
patient_74,10,0.6666666666666666,0.6666666666666666,0.0
patient_74,16,0.6666666666666666,0.6666666666666666,0.0
patient_75,1,0.3529411764705882,0.3529411764705882,0.0
patient_75,5,0.0,0.3529411764705882,0.3529411764705882
patient_75,10,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_75,16,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_76,1,0.6,0.6,0.0
patient_76,5,0.2,0.6,0.39999999999999997
patient_76,10,0.2,0.6,0.39999999999999997
patient_76,16,0.2,0.6,0.39999999999999997
patient_77,1,0.5714285714285714,0.5714285714285714,0.0
patient_77,5,0.5714285714285714,0.5714285714285714,0.0
patient_77,10,0.5714285714285714,0.5714285714285714,0.0
patient_77,16,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_78,1,0.4705882352941176,0.4705882352941176,0.0
patient_78,5,0.4705882352941176,0.4705882352941176,0.0
patient_78,10,0.4705882352941176,0.4705882352941176,0.0
