run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,extracted_entities_n,drift_vs_1x,drift_vs_gold,drift_score
20260522_155750,patient_04,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:48,1,200,3.889603299998271,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,4,6,0.8,0.8,0.8
20260522_155750,patient_04,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:52,1,200,2.8040789000006043,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,4,6,0.5,0.8,0.65
20260522_155750,patient_04,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:55,1,200,2.5322834000035077,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,4,6,0.5,0.8,0.65
20260522_155750,patient_04,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:59:58,1,200,1.992127699995763,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,4,6,0.5,0.8,0.65
20260522_155750,patient_05,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:00,1,200,2.61217050000414,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
20260522_155750,patient_05,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:02,1,200,3.2992796000035014,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
20260522_155750,patient_05,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:06,1,200,2.594427399999404,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
20260522_155750,patient_05,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:09,1,200,3.0204815000033705,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
20260522_155750,patient_05,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:12,1,200,3.0743994000004022,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
20260522_155750,patient_05,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:15,1,200,2.5547251000025426,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
