run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260522_165338,patient_26,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:57.197313,3,6304,1576,16,constant_length_control
20260522_165338,patient_27,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:58:59.299642,1,434,109,1,constant_length_control
20260522_165338,patient_27,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:01.553012,1,2186,547,5,constant_length_control
20260522_165338,patient_27,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:04.701740,2,4431,1108,10,constant_length_control
20260522_165338,patient_27,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:09.413723,3,7005,1752,16,constant_length_control
20260522_165338,patient_28,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:13.562964,1,544,136,1,constant_length_control
20260522_165338,patient_28,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:16.920532,2,2801,701,5,constant_length_control
20260522_165338,patient_28,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:20.593448,3,5548,1387,10,constant_length_control
20260522_165338,patient_28,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:24.739083,4,8769,2193,16,constant_length_control
20260522_165338,patient_29,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:27.889029,1,366,92,1,constant_length_control
20260522_165338,patient_29,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:30.293218,1,1895,474,5,constant_length_control
20260522_165338,patient_29,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:33.618022,2,3778,945,10,constant_length_control
20260522_165338,patient_29,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:36.206778,3,5952,1488,16,constant_length_control
20260522_165338,patient_30,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:38.884764,1,498,125,1,constant_length_control
20260522_165338,patient_30,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:41.452354,2,2548,637,5,constant_length_control
20260522_165338,patient_30,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:44.360200,3,5057,1265,10,constant_length_control
20260522_165338,patient_30,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:47.528599,4,8115,2029,16,constant_length_control
20260522_165338,patient_31,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:50.306976,1,719,180,1,constant_length_control
20260522_165338,patient_31,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:54.605968,2,3668,917,5,constant_length_control
20260522_165338,patient_31,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:59:59.540387,3,7301,1826,10,constant_length_control
20260522_165338,patient_31,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:04.495105,5,11631,2908,16,constant_length_control
20260522_165338,patient_32,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:10.668044,1,541,136,1,constant_length_control
20260522_165338,patient_32,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:13.267872,2,2774,694,5,constant_length_control
20260522_165338,patient_32,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:16.143351,3,5549,1388,10,constant_length_control
20260522_165338,patient_32,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:21.334948,4,8818,2205,16,constant_length_control
20260522_165338,patient_33,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:25.758949,1,578,145,1,constant_length_control
20260522_165338,patient_33,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:29.085256,2,3002,751,5,constant_length_control
20260522_165338,patient_33,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:32.832319,3,5896,1474,10,constant_length_control
20260522_165338,patient_33,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:36.443802,4,9351,2338,16,constant_length_control
20260522_165338,patient_34,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:39.767635,1,391,98,1,constant_length_control
20260522_165338,patient_34,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:42.794378,1,2030,508,5,constant_length_control
20260522_165338,patient_34,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:44.921032,2,4004,1001,10,constant_length_control
20260522_165338,patient_34,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:47.179007,3,6374,1594,16,constant_length_control
20260522_165338,patient_35,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:49.797578,1,500,125,1,constant_length_control
20260522_165338,patient_35,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:52.530379,2,2521,631,5,constant_length_control
20260522_165338,patient_35,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:55.620182,3,5131,1283,10,constant_length_control
20260522_165338,patient_35,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:00:59.018821,4,8150,2038,16,constant_length_control
20260522_165338,patient_36,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:04.857907,1,387,97,1,constant_length_control
