run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,raw_valid_json,schema_match,repair_needed,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present,structural_drift_score,extracted_entities_n,pdf_pages,character_count,estimated_tokens
20260520_192127,patient_08,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:32:40.310958,1,200,3.968275100000028,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:31:48.804994,1,200,2.705210199999783,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:31:51.522234,1,200,3.1950970999987476,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:31:54.729815,1,200,3.236712300000363,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:31:39.088927,1,200,3.445888300000661,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:31:42.546498,1,200,3.3586568999999145,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:31:45.914970,1,200,2.8463136999998824,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:32:19.359814,1,200,3.8389489999990474,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:32:23.213782,1,200,3.9205564000003505,1,1,0,0,0,0,0,0.0,8,,,
20260520_192127,patient_08,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T19:32:27.146769,1,200,4.244471300000441,1,1,0,0,0,0,0,0.0,8,,,
